Transaction time,opening,highest,lowest,current,amount
20201113090050_,3680,3680,3680,3680,4500
20201113090050_,3680,3680,3680,3680,13605
20201113090050_,3685,3685,3685,3685,1000
20201113090050_,3680,3680,3680,3680,112260
20201113090050_,3685,3685,3685,3685,766
20201113090051_,3685,3685,3685,3685,30000
20201113090051_,3685,3685,3685,3685,23
20201113090051_,3685,3685,3685,3685,113
20201113090052_,3685,3685,3685,3685,5
20201113090052_,3685,3685,3685,3685,111
20201113090052_,3685,3685,3685,3685,800
20201113090052_,3685,3685,3685,3685,20
20201113090052_,3685,3685,3685,3685,1
20201113090052_,3685,3685,3685,3685,200
20201113090053_,3685,3685,3685,3685,200
20201113090053_,3685,3685,3685,3685,5
20201113090053_,3685,3685,3685,3685,10
20201113090053_,3685,3685,3685,3685,30
20201113090054_,3685,3685,3685,3685,2224
20201113090054_,3685,3685,3685,3685,10
20201113090054_,3685,3685,3685,3685,1000
20201113090054_,3685,3685,3685,3685,1161
20201113090054_,3685,3685,3685,3685,50000
20201113090054_,3680,3680,3680,3680,13500
20201113090054_,3685,3685,3685,3685,100
20201113090054_,3685,3685,3685,3685,10000
20201113090054_,3685,3685,3685,3685,100
20201113090054_,3685,3685,3685,3685,6
20201113090054_,3685,3685,3685,3685,100
20201113090055_,3685,3685,3685,3685,28255
20201113090055_,3685,3685,3685,3685,222
20201113090055_,3685,3685,3685,3685,10098
20201113090055_,3685,3685,3685,3685,80
20201113090055_,3680,3680,3680,3680,1000
20201113090055_,3685,3685,3685,3685,666
20201113090055_,3680,3680,3680,3680,20
20201113090055_,3685,3685,3685,3685,1
20201113090055_,3685,3685,3685,3685,1
20201113090056_,3685,3685,3685,3685,81
20201113090056_,3680,3680,3680,3680,400
20201113090056_,3685,3685,3685,3685,2000
20201113090056_,3685,3685,3685,3685,200
20201113090056_,3685,3685,3685,3685,500
20201113090056_,3680,3680,3680,3680,163
20201113090056_,3685,3685,3685,3685,5545
20201113090056_,3685,3685,3685,3685,20
20201113090056_,3685,3685,3685,3685,100
20201113090057_,3685,3685,3685,3685,50
20201113090057_,3685,3685,3685,3685,15
20201113090057_,3685,3685,3685,3685,100
20201113090057_,3685,3685,3685,3685,10
20201113090057_,3680,3680,3680,3680,183
20201113090057_,3685,3685,3685,3685,2740
20201113090057_,3685,3685,3685,3685,251
20201113090058_,3685,3685,3685,3685,190
20201113090058_,3690,3690,3690,3690,1010
20201113090058_,3680,3680,3680,3680,426
20201113090058_,3690,3690,3690,3690,100
20201113090058_,3685,3685,3685,3685,1000
20201113090058_,3685,3685,3685,3685,135
20201113090058_,3680,3680,3680,3680,90
20201113090058_,3685,3685,3685,3685,5000
20201113090059_,3690,3690,3690,3690,100
20201113090059_,3690,3690,3690,3690,100
20201113090059_,3690,3690,3690,3690,1000
20201113090059_,3690,3690,3690,3690,54
20201113090059_,3690,3690,3690,3690,1600
20201113090100_,3685,3685,3685,3685,16133
20201113090100_,3685,3685,3685,3685,33867
20201113090100_,3690,3690,3690,3690,432
20201113090100_,3685,3685,3685,3685,41165
20201113090100_,3685,3685,3685,3685,1
20201113090100_,3685,3685,3685,3685,1
20201113090100_,3685,3685,3685,3685,1
20201113090100_,3685,3685,3685,3685,1
20201113090101_,3685,3685,3685,3685,5536
20201113090101_,3685,3685,3685,3685,5000
20201113090101_,3685,3685,3685,3685,100
20201113090101_,3685,3685,3685,3685,30
20201113090101_,3685,3685,3685,3685,3262
20201113090101_,3685,3685,3685,3685,50000
20201113090101_,3685,3685,3685,3685,271
20201113090101_,3685,3685,3685,3685,20
20201113090101_,3680,3680,3680,3680,136
20201113090101_,3685,3685,3685,3685,5
20201113090101_,3685,3685,3685,3685,20
20201113090102_,3685,3685,3685,3685,20
20201113090102_,3685,3685,3685,3685,5
20201113090102_,3685,3685,3685,3685,20
20201113090102_,3680,3680,3680,3680,544
20201113090102_,3685,3685,3685,3685,194170
20201113090102_,3685,3685,3685,3685,20
20201113090102_,3685,3685,3685,3685,134
20201113090102_,3685,3685,3685,3685,1900
20201113090103_,3685,3685,3685,3685,56000
20201113090103_,3685,3685,3685,3685,56000
20201113090103_,3690,3690,3690,3690,1
20201113090103_,3690,3690,3690,3690,542
20201113090103_,3685,3685,3685,3685,190
20201113090103_,3690,3690,3690,3690,27
20201113090103_,3685,3685,3685,3685,300
20201113090104_,3690,3690,3690,3690,10
20201113090104_,3690,3690,3690,3690,3000
20201113090104_,3690,3690,3690,3690,161
20201113090104_,3685,3685,3685,3685,1
20201113090104_,3685,3685,3685,3685,10000
20201113090105_,3690,3690,3690,3690,619
20201113090106_,3685,3685,3685,3685,50000
20201113090106_,3685,3685,3685,3685,5788
20201113090106_,3685,3685,3685,3685,5
20201113090106_,3690,3690,3690,3690,200
20201113090107_,3685,3685,3685,3685,1
20201113090107_,3685,3685,3685,3685,1
20201113090107_,3685,3685,3685,3685,1
20201113090107_,3685,3685,3685,3685,1
20201113090107_,3685,3685,3685,3685,4778
20201113090107_,3685,3685,3685,3685,200
20201113090107_,3685,3685,3685,3685,60
20201113090107_,3685,3685,3685,3685,10000
20201113090107_,3685,3685,3685,3685,1500
20201113090107_,3685,3685,3685,3685,271
20201113090107_,3685,3685,3685,3685,500
20201113090107_,3685,3685,3685,3685,150
20201113090108_,3685,3685,3685,3685,100
20201113090108_,3685,3685,3685,3685,3
20201113090108_,3685,3685,3685,3685,40
20201113090108_,3685,3685,3685,3685,500
20201113090108_,3685,3685,3685,3685,6000
20201113090108_,3685,3685,3685,3685,300
20201113090108_,3685,3685,3685,3685,500
20201113090109_,3685,3685,3685,3685,270
20201113090109_,3685,3685,3685,3685,2
20201113090109_,3685,3685,3685,3685,2500
20201113090109_,3685,3685,3685,3685,60
20201113090109_,3685,3685,3685,3685,100000
20201113090109_,3685,3685,3685,3685,3072
20201113090109_,3685,3685,3685,3685,5705
20201113090109_,3685,3685,3685,3685,1334
20201113090109_,3685,3685,3685,3685,800
20201113090109_,3685,3685,3685,3685,300
20201113090109_,3685,3685,3685,3685,20
20201113090109_,3685,3685,3685,3685,450
20201113090109_,3685,3685,3685,3685,50000
20201113090109_,3685,3685,3685,3685,200
20201113090109_,3690,3690,3690,3690,20
20201113090110_,3685,3685,3685,3685,15063
20201113090110_,3685,3685,3685,3685,1000
20201113090110_,3685,3685,3685,3685,46043
20201113090110_,3685,3685,3685,3685,3957
20201113090110_,3690,3690,3690,3690,22
20201113090110_,3685,3685,3685,3685,5
20201113090111_,3685,3685,3685,3685,1000
20201113090111_,3690,3690,3690,3690,1000
20201113090111_,3690,3690,3690,3690,2
20201113090111_,3685,3685,3685,3685,37886
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,14450
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,18197
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,55
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,2069
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090111_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,100
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,1
20201113090112_,3685,3685,3685,3685,935
20201113090112_,3685,3685,3685,3685,25
20201113090112_,3685,3685,3685,3685,3883
20201113090112_,3685,3685,3685,3685,100
20201113090113_,3685,3685,3685,3685,100
20201113090113_,3685,3685,3685,3685,4000
20201113090113_,3685,3685,3685,3685,2000
20201113090113_,3685,3685,3685,3685,5000
20201113090113_,3685,3685,3685,3685,54
20201113090113_,3685,3685,3685,3685,856
20201113090113_,3685,3685,3685,3685,2060
20201113090113_,3685,3685,3685,3685,700
20201113090113_,3685,3685,3685,3685,1
20201113090113_,3685,3685,3685,3685,1000
20201113090114_,3685,3685,3685,3685,5000
20201113090114_,3685,3685,3685,3685,2000
20201113090114_,3685,3685,3685,3685,1168
20201113090114_,3685,3685,3685,3685,50
20201113090114_,3685,3685,3685,3685,50
20201113090115_,3685,3685,3685,3685,10000
20201113090115_,3685,3685,3685,3685,22925
20201113090115_,3685,3685,3685,3685,3000
20201113090115_,3685,3685,3685,3685,100
20201113090115_,3685,3685,3685,3685,10
20201113090115_,3685,3685,3685,3685,200
20201113090115_,3685,3685,3685,3685,12
20201113090115_,3685,3685,3685,3685,2702
20201113090116_,3685,3685,3685,3685,1000
20201113090116_,3685,3685,3685,3685,1
20201113090116_,3685,3685,3685,3685,300
20201113090116_,3685,3685,3685,3685,8
20201113090116_,3685,3685,3685,3685,100
20201113090117_,3685,3685,3685,3685,300
20201113090117_,3685,3685,3685,3685,5
20201113090117_,3685,3685,3685,3685,100
20201113090118_,3685,3685,3685,3685,1029
20201113090118_,3680,3680,3680,3680,6000
20201113090118_,3685,3685,3685,3685,500
20201113090118_,3685,3685,3685,3685,5000
20201113090118_,3685,3685,3685,3685,10
20201113090118_,3685,3685,3685,3685,1391
20201113090118_,3680,3680,3680,3680,500
20201113090118_,3685,3685,3685,3685,542
20201113090119_,3685,3685,3685,3685,5000
20201113090119_,3685,3685,3685,3685,1000
20201113090119_,3685,3685,3685,3685,1000
20201113090119_,3685,3685,3685,3685,3
20201113090119_,3680,3680,3680,3680,500
20201113090120_,3685,3685,3685,3685,50000
20201113090120_,3685,3685,3685,3685,32874
20201113090120_,3685,3685,3685,3685,30000
20201113090120_,3685,3685,3685,3685,30000
20201113090120_,3685,3685,3685,3685,10843
20201113090120_,3685,3685,3685,3685,19157
20201113090120_,3685,3685,3685,3685,11753
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,500
20201113090120_,3680,3680,3680,3680,200
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,100
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
20201113090120_,3685,3685,3685,3685,1
